Country,HDI rank,2015 Human Development Index (HDI) (Value),2015 Inequality-adjusted HDI (IHDI) Value,2015 Inequality-adjusted HDI (IHDI) Overall loss (%),2015 Inequality-adjusted HDI (IHDI) Difference from HDI rank,2015 Coefficient of human inequality,2010- 2015 Inequality in life expectancy (%),2015 Inequality-adjusted life expectancy index Value,2015 Inequality in education (%), 2015 Inequality-adjusted education index (Value),2015 Inequality in income (%),2015 Inequality-adjusted income index (Value),Income inequality (Quintile ratio),Income inequality (Palma ratio),Gini coefficient
Solomon Islands,156,0.515,0.392,23.8,9,23.8,22.3,0.575,22.8,0.343,26.3,0.306,10.5,2.6,46.1
Mauritania,157,0.513,0.347,32.4,1,31.9,33.7,0.441,40.8,0.223,21.2,0.424,5.3,1.2,32.4
Madagascar,158,0.512,0.374,27,7,26.8,24.8,0.527,35,0.32,20.4,0.31,8.6,2.1,42.7
Rwanda,159,0.498,0.339,31.9,1,31.8,29.8,0.483,29.3,0.301,36.4,0.267,11,3.2,50.4
Comoros,160,0.497,0.27,45.8,-18,44.8,30.9,0.463,47.6,0.246,56,0.172,..,..,..
Lesotho,160,0.497,0.32,35.6,-6,34.9,33.5,0.308,24.3,0.38,47,0.28,20.5,4.3,54.2
Senegal,162,0.494,0.331,33.1,1,32.5,25,0.541,44.7,0.196,27.7,0.34,7.7,1.9,40.3
Haiti,163,0.493,0.298,39.6,-7,39.2,30.9,0.458,38.3,0.262,48.4,0.219,32.5,6.5,60.8
Uganda,163,0.493,0.341,30.9,6,30.8,35.7,0.388,29.4,0.33,27.3,0.309,7.6,2,41
Sudan,165,0.49,..,..,..,..,31.8,0.459,42.7,0.182,..,..,6.2,1.4,35.4
Togo,166,0.487,0.332,31.9,5,31.6,32.4,0.418,38.9,0.299,23.5,0.293,10.7,2.6,46
Benin,167,0.485,0.304,37.4,-3,37.1,37,0.385,44.8,0.228,29.4,0.318,8.4,2.2,43.4
Yemen,168,0.482,0.32,33.7,0,32.7,29.4,0.478,48.1,0.182,20.6,0.376,..,..,..
Afghanistan,169,0.479,0.327,31.8,3,30.4,35.7,0.403,44.8,0.219,10.8,0.395,..,..,..
Malawi,170,0.476,0.328,31.2,5,31.1,32.7,0.454,28.2,0.32,32.5,0.242,9.6,2.6,46.1
Côte d'Ivoire,171,0.474,0.294,37.8,-2,37.4,39.7,0.296,45.1,0.228,27.4,0.379,9.6,2.2,43.2
Djibouti,172,0.473,0.31,34.6,3,33.7,32.5,0.439,47,0.165,21.7,0.41,10.2,2.3,44.1
Gambia,173,0.452,..,..,..,..,31.3,0.428,..,..,26.9,0.302,..,..,..
Ethiopia,174,0.448,0.33,26.3,10,25.5,30.3,0.478,36.6,0.202,9.5,0.372,5.2,1.3,33.2
Mali,175,0.442,0.293,33.7,0,32.7,40.4,0.353,41.6,0.182,16.1,0.393,5.2,1.3,33
Congo (Democratic Republic of the),176,0.435,0.297,31.9,3,31.7,39.1,0.366,27.7,0.343,28.2,0.208,8.7,2.1,42.1
Liberia,177,0.427,0.284,33.4,1,32.9,33.1,0.424,42.9,0.242,22.7,0.224,6.7,1.6,36.5
Guinea-Bissau,178,0.424,0.257,39.3,-5,39.1,44.6,0.302,40.3,0.211,32.5,0.267,12.6,3.3,50.7
Eritrea,179,0.42,..,..,..,..,25.9,0.504,..,..,..,..,..,..,..
Sierra Leone,179,0.42,0.262,37.8,-3,36.6,43.4,0.273,47.3,0.197,19.2,0.333,5.4,1.4,34
Mozambique,181,0.418,0.28,33,3,32.9,36.4,0.347,33.8,0.244,28.4,0.259,9.9,2.5,45.6
South Sudan,181,0.418,..,..,..,..,40.7,0.33,39.6,0.18,..,..,13.1,2.7,46.3
Guinea,183,0.414,0.27,34.8,2,33.6,35.4,0.39,48.3,0.171,17.1,0.296,5.5,1.3,33.7
Burundi,184,0.404,0.276,31.5,4,30.6,40.8,0.338,36.9,0.249,14.1,0.251,4.8,1.3,33.4
Burkina Faso,185,0.402,0.267,33.6,2,33.3,37.1,0.377,38.6,0.161,24.2,0.313,5.3,1.5,35.3
Chad,186,0.396,0.238,39.9,-1,39.6,46.2,0.264,41.9,0.163,30.7,0.313,10,2.2,43.3
Niger,187,0.353,0.253,28.3,1,27.5,35.3,0.417,35,0.134,12.3,0.29,5.4,1.4,34
Central African Republic,188,0.352,0.199,43.5,0,43.1,45.7,0.263,34.5,0.221,49.2,0.136,18.3,4.5,56.2
